doi,journal,volume,issue,editor,submitted,revised,decision,accepted,online,finalversion,issueonline,issuedate
10.1111/j.1461-0248.2007.01056.x,Ecology Letters,10,08,Wilfried Thuiller,2007-02-12,NA,2007-03-19,2007-04-24,2007-06-07,NA,2007-06-07,2007-08-01
10.1890/09-0243.1,Ecology,91,02,NA,2009-02-12,2009-05-11,NA,2009-05-12,2010-03-05,NA,NA,2010-02-01
10.1890/es13-00370.1,Ecosphere,5,02,J. R. Thompson,2013-11-13,NA,NA,2013-12-06,2014-02-28,2014-01-24,NA,2014-02-01
10.1525/cond.2009.080070,The Condor,111,05,NA,2008-11-03,NA,NA,2009-01-26,2009-05-23,NA,NA,2009-05-01
10.7717/peerj.293,PeerJ,2,03,Kerry Woods,2013-09-24,NA,NA,2014-02-05,2014-03-06,NA,NA,NA
10.1098/rspb.2009.1966,Proceedings of the Royal Society B: Biological Sciences,277,01,NA,2009-10-27,NA,NA,2009-12-09,NA,NA,NA,2010-05-07
10.1098/rsbl.2009.0692,Biology Letters,6,10,NA,2009-08-25,NA,NA,2009-09-28,2009-10-21,NA,NA,2010-04-23
10.1111/j.1461-0248.2009.01336.x,Ecology Letters,12,08,Vojtech Novotny,2009-01-28,NA,2009-03-10,2009-05-11,2009-07-02,NA,2009-07-02,2009-08-01
10.1890/06-1751.1,Ecology,88,11,NA,2006-10-19,2007-02-26,NA,2007-03-05,2008-09-11,NA,NA,2007-11-01
10.1890/es11-00320.1,Ecosphere,3,03,F. Biondi,2011-11-10,2012-01-04,NA,2012-02-06,2012-03-07,NA,NA,2012-03-01
10.1525/cond.2009.review02,The Condor,111,02,NA,NA,NA,NA,NA,2010-05-18,NA,NA,2009-02-01
10.7717/peerj.376,PeerJ,2,05,Michael Singer,2014-02-07,NA,NA,2014-04-22,2014-05-06,NA,NA,NA
10.1098/rspb.2008.1778,Proceedings of the Royal Society B: Biological Sciences,276,03,NA,2008-12-02,NA,NA,2009-02-04,NA,NA,NA,2009-06-07
10.1098/rsbl.2006.0461,Biology Letters,2,06,NA,2006-01-25,NA,NA,2006-02-13,2006-06-22,NA,NA,2006-06-22
10.1111/j.1461-0248.2007.01123.x,Ecology Letters,0,10,Ted Turlings,2007-08-24,NA,2007-08-28,2007-09-24,2007-10-24,NA,2007-10-24,2008-01-01
10.1890/br08-15.1,Ecology,89,03,NA,NA,NA,NA,NA,2008-09-02,NA,NA,2008-03-01
10.1890/es11-00187.1,Ecosphere,2,10,W. Koenig,2011-06-30,NA,NA,2011-08-15,2011-10-13,2011-09-20,NA,2011-10-01
10.1525/cond.2012.110058,The Condor,114,05,NA,2011-04-18,NA,NA,2011-10-21,2012-06-25,NA,NA,2012-05-01
10.7717/peerj.328,PeerJ,2,03,Anna Traveset,2014-01-02,NA,NA,2014-03-12,2014-03-27,NA,NA,NA
