"doi","journal","url","editor","received","accepted","online","final_version","issue","first_decision","second_decision","third_decision","fourth_decision","preprint","issueonline","revised1","revised2","revised3","revised4","error"
"10.1371/journal.pone.0052078","PLoS ONE",NA,"Ethan P White",2012-04-02,2012-11-13,2012-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0031183","PLoS ONE",NA,"Roy Martin Roop II",2011-06-21,2012-01-04,2012-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.1001854","PLoS Biology",NA,"none",NA,NA,2014-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0057944","PLoS ONE",NA,"Darren Curnoe",2012-11-29,2013-01-29,2013-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0066992","PLoS ONE",NA,"Christopher Fulton",2013-02-17,2013-05-13,2013-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0062528","PLoS ONE",NA,"Nicholas J Mills",2012-10-12,2013-03-21,2013-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pntd.0002507","PLoS Neglected Tropical Diseases",NA,"Roberto Barrera",2013-01-30,2013-09-17,2013-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pntd.0002270","PLoS Neglected Tropical Diseases",NA,"Pamela L C Small",2013-02-03,2013-05-02,2013-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0062336","PLoS ONE",NA,"Frederik Bornke",2012-12-12,2013-03-20,2013-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0028807","PLoS ONE",NA,"Wayne M Getz",2011-07-28,2011-11-15,2011-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0091589","PLoS ONE",NA,"Ben Bond-Lamberty",2013-12-31,2014-02-13,2014-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.1001853","PLoS Biology",NA,"Helene Morlon",2013-10-16,2014-03-28,2014-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.1001184","PLoS Biology",NA,"Jonathan A Eisen",2010-12-20,2011-09-15,2011-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0048829","PLoS ONE",NA,"Mark van Kleunen",2012-04-12,2012-10-05,2012-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0010835","PLoS ONE",NA,"Sharyn Jane Goldstien",2010-01-09,2010-04-27,2010-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0023719","PLoS ONE",NA,"Brock Fenton",2011-04-30,2011-07-25,2011-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0023717","PLoS ONE",NA,"Julian Clifton",2011-06-20,2011-07-25,2011-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0099012","PLoS ONE",NA,"Keqiang Wu",2014-03-19,2014-05-09,2014-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pcbi.1002005","PLoS Computational Biology",NA,"Claus O Wilke",2010-10-14,2010-12-16,2011-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0059326","PLoS ONE",NA,"Brock Fenton",2012-10-24,2013-02-13,2013-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0030015","PLoS ONE",NA,"Jeffrey A Harvey",2011-06-17,2011-12-09,2012-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0101413","PLoS ONE",NA,"Andrew C Singer",2014-05-05,2014-06-06,2014-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0096605","PLoS ONE",NA,"Ahmed Moustafa",2013-11-13,2014-04-09,2014-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0063046","PLoS ONE",NA,"Andrew A Farke",2013-02-06,2013-03-28,2013-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
