doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1890/12-1350.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1350.1,D M Tompkins,2012-08-02,2012-01-16,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-12-06,NA,NA,NA,FALSE
10.1890/12-1531.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1531.1,J J Stachowicz,2012-09-05,2013-01-14,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-12-05,NA,NA,NA,FALSE
10.1890/12-1163.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1163.1,L Stone,2012-07-06,2013-01-03,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-11-13,NA,NA,NA,FALSE
10.1890/12-0953.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0953.1,D R Strong,2012-06-08,2012-12-07,2013-06-19,2013-01-16,2013-06-01,NA,NA,NA,NA,NA,NA,2012-10-22,NA,NA,NA,FALSE
10.1890/12-0389.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0389.1,P D Steinberg,2012-03-08,2013-01-02,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-12-17,NA,NA,NA,FALSE
10.1890/12-2177.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2177.1,F S Dobson,2012-12-15,2013-02-20,2013-06-19,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2013-02-06,NA,NA,NA,FALSE
10.1890/12-2086.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2086.1,C C Wilmers,2012-11-29,2013-04-01,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-19,NA,NA,NA,FALSE
10.1890/12-2011.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2011.1,J B Yavitt,2012-11-15,2013-03-28,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-07,NA,NA,NA,FALSE
10.1890/12-1385.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1385.1,E D Grosholz,2012-08-11,2013-03-29,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-05,NA,NA,NA,FALSE
10.1890/13-0244.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0244.1,B J Cardinale,2013-02-06,2013-03-28,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-20,NA,NA,NA,FALSE
10.1890/12-1944.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1944.1,B P Wilcox,2012-11-06,2013-03-28,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-25,NA,NA,NA,FALSE
10.1890/12-1847.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1847.1,J F Bruno,2012-10-24,2013-03-28,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-20,NA,NA,NA,FALSE
10.1890/12-0712.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0712.1,B E Kendall,2012-05-04,2013-03-28,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-02-20,NA,NA,NA,FALSE
10.1890/12-1200.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1200.1,A S Flecker,2012-07-14,2013-03-12,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-01-11,NA,NA,NA,FALSE
10.1890/13-0161.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0161.1,R B Aronson,2013-01-25,2013-03-21,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-19,NA,NA,NA,FALSE
10.1890/12-2150.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2150.1,J H Grabowski,2012-12-11,2013-04-05,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-04-04,NA,NA,NA,FALSE
10.1890/12-1052.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1052.1,K B Newman,2012-06-21,2013-03-12,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-06,NA,NA,NA,FALSE
10.1890/12-1620.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1620.1,R E Irwin,2012-09-20,2013-03-15,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-08,NA,NA,NA,FALSE
10.1890/12-1943.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1943.1,J D Hoeksema,2012-11-07,2013-02-27,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-02-20,NA,NA,NA,FALSE
10.1890/12-1795.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1795.1,B D Inouye,2012-10-22,2013-04-25,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-04-15,NA,NA,NA,FALSE
10.1890/12-1444.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1444.1,H Hillebrand,2012-08-22,2013-05-01,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-04-26,NA,NA,NA,FALSE
10.1890/12-2125.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2125.1,NA,2012-12-06,2013-05-03,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-04-05,NA,NA,NA,FALSE
10.1890/12-2182.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2182.1,A L Shanks,2012-12-17,2013-03-28,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-27,NA,NA,NA,FALSE
10.1890/12-1586.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1586.1,R A Dahlgren,2012-09-13,2013-04-02,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-03-06,NA,NA,NA,FALSE
10.1890/12-1322.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1322.1,E E Holmes,2012-07-31,2013-04-17,2013-09-18,NA,2013-09-01,NA,NA,NA,NA,NA,NA,2013-01-01,NA,NA,NA,FALSE
10.1890/12-2128.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2128.1,J B Yavitt,2012-12-07,2013-01-31,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/BR13-36.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/BR13-36.1,NA,NA,NA,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1890/12-0719.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0719.1,F S Dobson,2012-05-03,2012-12-14,2013-07-11,2013-01-15,2013-07-01,NA,NA,NA,NA,NA,NA,2012-10-24,NA,NA,NA,FALSE
10.1890/12-1012.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1012.1,R T Corlett,2012-06-18,2013-01-04,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-01-02,NA,NA,NA,FALSE
10.1890/13-0236.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0236.1,W K Michener,2013-02-05,2013-04-10,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-04-04,NA,NA,NA,FALSE
10.1890/12-2005.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2005.1,J M Levine,2012-11-19,2013-03-28,2013-07-11,NA,2013-07-01,NA,NA,NA,NA,NA,NA,2013-03-20,NA,NA,NA,FALSE
