doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1098/rsbl.2013.0118,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0118,NA,2013-02-05,2013-04-03,2013-04-24,NA,2013-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2008.01597.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2008.01597.x,Andy Royle,2008-02-18,2008-11-04,2008-12-03,NA,2009-04-01,NA,NA,NA,NA,NA,2009-03-03,NA,NA,NA,NA,FALSE
10.1890/11-1660.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/11-1660.1,NA,2011-09-12,2012-07-20,2013-03-21,NA,2013-03-01,NA,NA,NA,NA,NA,NA,2012-06-18,2012-08-20,NA,NA,FALSE
10.1098/rsbl.2013.0090,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0090,NA,2013-01-28,2013-03-29,2013-04-24,NA,2013-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01610.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01610.x,Phil Hulme,2008-07-18,2008-12-29,2009-02-09,NA,2009-04-01,NA,NA,NA,NA,NA,2009-03-03,NA,NA,NA,NA,FALSE
10.1890/11-1636.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/11-1636.1,NA,2011-09-08,2012-10-02,2013-03-21,NA,2013-03-01,NA,NA,NA,NA,NA,NA,2012-09-18,NA,NA,NA,FALSE
10.1098/rsbl.2013.0040,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0040,NA,2013-01-15,2013-04-04,2013-04-24,NA,2013-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2008.01596.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2008.01596.x,Jos Barlow,2008-07-21,2008-11-04,2008-12-08,NA,2009-02-01,NA,NA,NA,NA,NA,2009-01-14,NA,NA,NA,NA,FALSE
10.1890/12-1097.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-1097.1,NA,2012-06-27,2012-09-26,2013-03-21,NA,2013-03-01,NA,NA,NA,NA,NA,NA,2012-09-24,NA,NA,NA,FALSE
10.1098/rsbl.2012.1173,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2012.1173,NA,2012-12-17,2013-04-01,2013-04-24,NA,2013-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2008.01598.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2008.01598.x,Jack Lennon,2008-03-27,2008-11-05,2008-12-03,NA,2009-02-01,NA,NA,NA,NA,NA,2009-01-14,NA,NA,NA,NA,FALSE
10.1890/12-0877.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-0877.1,NA,2012-05-30,2012-09-11,2013-03-21,NA,2013-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rsbl.2013.0234,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0234,NA,2013-03-12,2013-04-11,2013-05-01,NA,2013-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01652.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01652.x,Fanglian He,2008-12-23,2009-03-03,2009-04-28,NA,2009-06-01,NA,NA,NA,NA,NA,2009-04-28,NA,NA,NA,NA,FALSE
10.1890/12-0429.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-0429.1,NA,2012-03-14,2012-08-23,2013-03-21,NA,2013-03-01,NA,NA,NA,NA,NA,NA,2012-08-07,NA,NA,NA,FALSE
10.1098/rsbl.2013.0056,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0056,NA,2013-01-18,2013-04-10,2013-05-01,NA,2013-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01654.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01654.x,EJ Milner-Gulland,2009-03-03,2009-03-10,2009-04-28,NA,2009-06-01,NA,NA,NA,NA,NA,2009-04-28,NA,NA,NA,NA,FALSE
10.1890/12-1018.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-1018.1,NA,2012-06-20,2012-09-24,2013-03-21,NA,2013-03-01,NA,NA,NA,NA,NA,NA,2012-08-28,NA,NA,NA,FALSE
10.1098/rsbl.2013.0003,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0003,NA,2013-01-02,2013-04-11,2013-05-01,NA,2013-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01689.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01689.x,Yvonne Buckley,2009-01-13,2009-06-26,2009-07-22,NA,2009-10-01,NA,NA,NA,NA,NA,2009-10-01,NA,NA,NA,NA,FALSE
