doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1007/s10021-010-9393-7,Ecosystems,http://link.springer.com/10.1007/s10021-010-9393-7,NA,NA,NA,2010-10-26,NA,2011-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2863,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2863,NA,2012-11-30,2013-01-09,2013-01-30,NA,2013-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s10021-010-9388-4,Ecosystems,http://link.springer.com/10.1007/s10021-010-9388-4,NA,NA,NA,2010-10-07,NA,2011-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2812,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2812,NA,2012-11-28,2013-01-09,2013-01-30,NA,2013-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s10021-010-9395-5,Ecosystems,http://link.springer.com/10.1007/s10021-010-9395-5,NA,NA,NA,2010-11-23,NA,2011-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2770,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2770,NA,2012-11-21,2013-01-03,2013-01-30,NA,2013-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s10021-010-9397-3,Ecosystems,http://link.springer.com/10.1007/s10021-010-9397-3,NA,NA,NA,2010-11-16,NA,2011-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2686,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2686,NA,2012-11-16,2013-01-04,2013-01-30,NA,2013-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1007/s10021-010-9398-2,Ecosystems,http://link.springer.com/10.1007/s10021-010-9398-2,NA,NA,NA,2010-11-12,NA,2011-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1098/rspb.2012.2654,Proceedings of the Royal Society B: Biological Sciences,http://rspb.royalsocietypublishing.org/cgi/doi/10.1098/rspb.2012.2654,NA,2012-11-08,2013-01-03,2013-01-30,NA,2013-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
